Cota de cuero
Cota de malla
Cota de cazador
Cota de hueso
Cota de Vespoid


Cota de Jagras
Cota de Kulu
Cota de aleación
Cota de Pukei
Cota de Barroth
Cota de Jyura
Cota de Kadachi
Cota de megametal
Tórax rey escarabajo
Tórax de mariposa

Cota de Hornetaur
Cota de Anja
Cota de Rathian
Cota de Tzitzi
Cota de Tzitzi
Cota de Girros
Cota de Baan
Cota de lingotes
Músculo pestilente
Traje de brigada
Cota de Legiana
Cota de Odogaron
Cota de Rathalos
Cota de Diablos
Chaqueta de Kirin
Cota de cuero α
Cota de cuero β
Chainmail Armor α
Chainmail Armor β
Cota de cazador α
Cota de cazador β
Cota de hueso α
Cota de hueso β
Cota de aleación α
Cota de aleación β
Tórax rey escarabajo α
Tórax rey escarabajo β
Tórax de mariposa α
Tórax de mariposa β
Cota de Vespoid α
Cota de Vespoid β
Cota de Hornetaur α
Cota de Hornetaur β







Cota de Jagras α
Cota de Jagras β
Cota de Kulu α
Cota de Kulu β
Cota de Tzitzi α
Cota de Tzitzi β
Cota de Girros α
Cota de Girros β
Cota de Pukei α
Cota de Pukei β
Cota de Barroth α
Cota de Barroth β
Cota de Anja α
Cota de Anja β
Cota de Jyura α
Cota de Jyura β
Cota de Kadachi α
Cota de Kadachi β
Cota de Tzitzi α
Cota de Tzitzi β
Cota de Rathian α
Cota de Rathian β
Cota corazón Rath α
Cota corazón Rath β
Cota de Baan α
Cota de Baan β


Chaqueta de Barnos α
Chaqueta de Barnos β
Cota de Dodogama α
Cota de Dodogama β
Cota de Zorah α
Cota de Zorah β
Cota de megametal α
Cota de megametal β
Cota de lingotes α
Cota de lingotes β
Traje de brigada α
Traje de brigada β


Cota de Lavasioth α
Cota de Lavasioth β
Cota de Legiana α
Cota de Legiana β
Cota de Odogaron α
Cota de Odogaron β
Cota de Rathalos α
Cota de Rathalos β
Cota alma Rath α
Cota alma Rath β
Cota de Diablos α
Cota de Diablos β
Cota Diablos Negra α
Cota Diablos Negra β
Cota de Uragaan α
Cota de Uragaan β
Cota de Bazel α
Cota de Bazel β
Cota de Damasco α
Cota de Damasco β
Cota de Dober α
Cota de Dober β
Músculo pestilente α
Músculo pestilente β

Cota de Nergigante α
Cota de Nergigante β
Cota de Káiser α
Cota de Káiser β
Quiste de Kushala α
Quiste de Kushala β
Cota de Vaal Hazak α
Cota de Vaal Hazak β
Chaqueta de Kirin α
Chaqueta de Kirin β
Cota de Xeno'jiiva α
Cota de Xeno'jiiva β
Traje cruz gremial α
Traje cruz gremial β

Chaqueta comisión α
Chaqueta comisión β
Cota de Vangis α
Cota de Vangis β
Cota de emperatriz α
Cota de emperatriz β
Cota Drachen α
Cuerpo de Aloy α
Traje karateka de Ryu
Traje karateka de Ryu α
Traje de Sakura α
Tórax de mariposa
Tórax reina escarabajo
Armadura de flores
Armadura de flores α
Tronco de cosecha
Tronco de cosecha α
Chaleco Orión
Chaleco Orión α
Ira Kulve Taroth α
Ira Kulve Taroth β
Gabardina de Dante α
Armadura rey celestial α
Chaqueta de Kirin γ
Cota de Vaal Hazak γ
Cota de Káiser γ
Quiste de Kushala γ
Cota de emperatriz γ
Cota de Zorah γ
Cota de Xeno'jiiva γ
Ira Kulve Taroth γ
Traje de buceo
Traje de buceo α
Tórax de mariposa α
Tórax de mariposa β
Tórax reina escarabajo α
Tórax reina escarabajo β
Chaqueta traje gala
Chaqueta traje gala α
Cuerpo de Geralt α
Cuerpo de Ciri α
Cota de Nergigante γ
