#Name,Gender,Rarity,Acquire,Slots,Min Def,Max Def,Aug Def,Fire,Water,Thunder,Ice,Dragon,Skill 1,Points 1,Skill 2,Points 2,Skill 3,Points 3,Material 1,Num 1,Material 2,Num 2,Material 3,Num 3,Material 4,Num 4
Leather Gloves,,1,1,0,2,38,68,2,0,0,0,0,,,,,,,Iron Ore,1,,,,,,
Chainmail Gloves,,1,1,0,2,38,68,0,2,0,0,0,,,,,,,Iron Ore,1,,,,,,
Hunter's Vambraces,,1,1,0,6,42,72,2,2,0,0,0,Stealth,1,,,,,Jagras Hide,1,Jagras Scale,1,,,,
Bone Vambraces,,1,1,0,6,42,72,2,0,2,0,2,Slugger,1,,,,,Monster Bone S,3,Kestodon Shell,2,,,,
Vespoid Vambraces,,1,1,0,8,44,74,-2,1,1,1,2,Paralysis Attack,1,,,,,Vespoid Wing,2,Monster Fluid,1,,,,
Kestodon Guards,,1,1,0,12,48,78,4,0,0,0,0,Affinity Sliding,1,,,,,Kestodon Shell,6,Kestodon Scalp,3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Jagras Vambraces,,1,1,0,8,44,74,-2,2,-1,-1,1,Palico Rally,1,,,,,Great Jagras Scale,2,Great Jagras Hide,1,Jagras Hide,3,,
Kulu Vambraces,,1,2,0,10,46,76,0,-3,0,1,0,Pro Transporter,1,,,,,Kulu-Ya-Ku Scale,2,Kulu-Ya-Ku Hide,1,Iron Ore,3,,
Alloy Vambraces,,2,2,0,8,40,66,-2,1,-2,-2,1,Defense Boost,1,,,,,Machalite Ore,3,Iron Ore,6,Earth Crystal,1,,
Pukei Vambraces,,2,3,0,12,44,70,0,3,-3,0,1,Poison Resistance,1,,,,,Pukei-Pukei Scale,2,Pukei-Pukei Shell,1,Poison Sac,1,,
Barroth Vambraces,,2,3,0,14,38,72,-3,-1,3,-1,0,Marathon Runner,1,,,,,Barroth Ridge,3,Barroth Tail,1,Barroth Scalp,1,Kestodon Scalp,1
Jyura Vambraces,,2,3,0,14,46,72,-1,2,-3,0,0,Water Attack,1,,,,,Jyuratodus Shell,2,Jyuratodus Fang,1,Gajau Whisker,2,,
Kadachi Vambraces,,2,3,0,16,48,74,0,-3,3,0,0,Evade Extender,1,,,,,Tobi-Kadachi Pelt,2,Tobi-Kadachi Claw,1,Tobi-Kadachi Scale,2,Monster Bone M,2
High Metal Braces,,3,4,0,18,46,70,0,-1,-2,3,0,Defense Boost,1,,,,,Dragonite Ore,2,Machalite Ore,2,Earth Crystal,2,Sharp Claw,2
King Beetle Brachia,M,3,4,0,22,50,74,-1,-1,2,0,2,Leap of Faith,1,,,,,Great Hornfly,1,Earth Crystal,2,Coral Crystal,1,Aqua Sac,1
Butterfly Brachia,F,3,4,0,22,50,74,-1,-1,2,0,2,Leap of Faith,1,,,,,Great Hornfly,1,Earth Crystal,2,Coral Crystal,1,Aqua Sac,1
,,,,,,,,,,,,,,,,,,,,,,,,,,
Hornetaur Vambraces,,3,4,0,18,46,70,-1,-1,0,0,2,Free Meal,1,,,,,Hornetaur Wing,1,Hornetaur Shell,1,Iron Ore,3,Machalite Ore,1
Anja Vambraces,,3,4,0,20,48,72,3,-3,-1,-1,0,Special Ammo Boost,1,,,Anjanath Power,1,Anjanath Pelt,2,Anjanath Scale,2,Anjanath Nosebone,1,Monster Bone L,1
Rathian Vambraces,,3,4,0,22,50,74,2,0,-2,0,-3,Poison Attack,1,,,,,Rathian Shell,2,Rathian Scale,2,Rathian Spike,1,Monster Bone L,2
Tzitzi Vambraces,,3,4,0,18,46,70,0,0,-3,-2,0,Stun Resistance,1,,,,,Tzitzi-Ya-Ku Hide,2,Tzitzi-Ya-Ku Photophore,1,Tzitzi-Ya-Ku Scale,3,Coral Crystal,2
Lumu Vambraces,,3,4,0,20,48,72,-3,2,0,1,0,Artillery,1,,,,,Paolumu Pelt,2,Paolumu Scale,1,Paolumu Webbing,1,,
Girros Vambraces,,3,4,0,20,48,72,0,-3,2,0,1,Palico Rally,1,,,,,Great Girros Scale,2,Great Girros Hide,1,Girros Fang,2,,
Baan Vambraces,,3,4,0,24,52,76,0,2,0,-1,-2,Sleep Attack,1,,,,,Radobaan Scale,2,Radobaan Shell,1,Radobaan Oilshell,1,Sturdy Bone,3
Ingot Vambraces,,4,5,0,28,52,72,-2,0,3,-1,0,Health Boost,1,,,,,Dragonite Ore,3,Monster Bone+,1,Coral Crystal,3,Lightcrystal,1
Death Stench Grip,,4,5,0,32,56,76,3,2,-2,3,-4,Focus,1,,,,,Sinister Cloth,1,Warped Bone,3,Sturdy Bone,6,Lightcrystal,1
Brigade Vambraces,,4,5,0,28,52,72,1,0,2,0,2,Heavy Artillery,1,,,,,Pinnacle Coin,2,Pukei Coin,2,Kulu Coin,2,Commendation,1
Legiana Vambraces,,4,5,0,30,54,74,-1,2,-3,3,0,Airborne,1,,,Legiana Blessing,1,Legiana Hide,2,Legiana Scale,2,Legiana Webbing,1,Frost Sac,1
Odogaron Vambraces,,4,5,0,30,54,74,2,2,-2,-3,0,Constitution,1,,,Odogaron Power,1,Odogaron Sinew,2,Odogaron Scale,2,Odogaron Tail,1,Hornetaur Wing,2
Rathalos Vambraces,,4,5,0,30,54,74,3,1,-2,1,-3,Fire Resistance,1,,,Rathalos Power,1,Rathalos Shell,2,Rathalos Webbing,1,Flame Sac,2,Monster Bone+,2
Diablos Vambraces,,4,5,0,32,56,76,3,-2,0,-3,2,Heroics,1,,,Diablos Power,1,Diablos Ridge,2,Diablos Shell,2,Diablos Tailcase,1,Lightcrystal,1
Kirin Longarms,,4,5,0,34,58,78,-3,-2,4,-2,3,Blight Resistance,1,,,Kirin Blessing,1,Kirin Hide,3,Kirin Mane,2,Paolumu Shell,2,Lightcrystal,1
Leather Gloves α,,5,6,0,32,54,70,2,0,0,0,0,Recovery Speed,1,,,,,Carbalite Ore,2,High-quality Pelt,1,,,,
Leather Gloves β,,5,6,1,32,54,70,2,0,0,0,0,,,,,,,Carbalite Ore,2,High-quality Pelt,1,,,,
Chainmail Gloves α,,5,6,0,32,54,70,0,2,0,0,0,Recovery Speed,1,,,,,Carbalite Ore,2,Dragonite Ore,2,,,,
Chainmail Gloves β,,5,6,1,32,54,70,0,2,0,0,0,,,,,,,Carbalite Ore,2,Dragonite Ore,2,,,,
Hunter's Vambraces α,,5,6,0,36,58,74,2,2,0,0,0,Stealth,2,,,,,Jagras Hide+,2,Jagras Scale+,4,,,,
Hunter's Vambraces β,,5,6,1,36,58,74,2,2,0,0,0,Stealth,1,,,,,Jagras Hide+,2,Jagras Scale+,4,,,,
Bone Vambraces α,,5,6,0,36,58,74,2,0,2,0,2,Slugger,1,Attack Boost,1,,,Quality Bone,3,Monster Bone+,2,Coral Bone,2,,
Bone Vambraces β,,5,6,1,36,58,74,2,0,2,0,2,Slugger,1,,,,,Quality Bone,3,Monster Bone+,2,Coral Bone,2,,
Alloy Vambraces α,,5,6,0,36,58,74,-2,0,-2,-2,0,Defense Boost,1,Speed Sharpening,1,,,Carbalite Ore,2,Dragonite Ore,4,Earth Crystal,4,Machalite Ore,5
Alloy Vambraces β,,5,6,1,36,58,74,-2,0,-2,-2,0,Defense Boost,1,,,,,Carbalite Ore,2,Dragonite Ore,4,Earth Crystal,4,Machalite Ore,5
King Beetle Brachia α,M,5,6,1,42,64,80,-1,-1,2,0,2,Botanist,2,Leap of Faith,1,,,Great Hornfly,1,Dragonvein Crystal,2,Monster Broth,2,Torrent Sac,2
King Beetle Brachia β,M,5,6,21,42,64,80,-1,-1,2,0,2,Botanist,2,,,,,Great Hornfly,1,Dragonvein Crystal,2,Monster Broth,2,Torrent Sac,2
Butterfly Brachia α,F,5,6,1,42,64,80,-1,-1,2,0,2,Botanist,2,Leap of Faith,1,,,Great Hornfly,1,Dragonvein Crystal,2,Monster Broth,2,Torrent Sac,2
Butterfly Brachia β,F,5,6,21,42,64,80,-1,-1,2,0,2,Botanist,2,,,,,Great Hornfly,1,Dragonvein Crystal,2,Monster Broth,2,Torrent Sac,2
Vespoid Vambraces α,,5,6,0,38,60,76,-2,1,1,1,2,Paralysis Attack,2,,,,,Vespoid Carapace,4,Vespoid Innerwing,2,Monster Broth,3,Omniplegia Sac,2
Vespoid Vambraces β,,5,6,1,38,60,76,-2,1,1,1,2,Paralysis Attack,1,,,,,Vespoid Carapace,4,Vespoid Innerwing,2,Monster Broth,3,Omniplegia Sac,2
Hornetaur Vambraces α,,5,6,0,38,60,76,-1,-1,0,0,2,Free Meal,1,Hunger Resistance,1,,,Hornetaur Carapace,3,Hornetaur Innerwing,2,Monster Broth,2,,
Hornetaur Vambraces β,,5,6,1,38,60,76,-1,-1,0,0,2,Free Meal,1,,,,,Hornetaur Carapace,3,Hornetaur Innerwing,2,Monster Broth,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Kestodon Guards α,,5,6,0,40,62,78,4,0,0,0,0,Affinity Sliding,1,Focus,1,,,Kestodon Carapace,6,Kestodon Scalp,3,Quality Bone,3,,
Kestodon Guards β,,5,6,1,40,62,78,4,0,0,0,0,Affinity Sliding,1,,,,,Kestodon Carapace,6,Kestodon Scalp,3,Quality Bone,3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
