#Name,Gender,Rarity,Acquire,Slots,Min Def,Max Def,Aug Def,Fire,Water,Thunder,Ice,Dragon,Skill 1,Points 1,Skill 2,Points 2,Skill 3,Points 3,Material 1,Num 1,Material 2,Num 2,Material 3,Num 3,Material 4,Num 4
Leather Mail,,1,1,0,2,38,68,2,0,0,0,0,,,,,,,Iron Ore,1,,,,,,
Chainmail Vest,,1,1,0,2,38,68,0,2,0,0,0,,,,,,,Iron Ore,1,,,,,,
Hunter's Mail,,1,1,0,6,42,72,2,2,0,0,0,Slinger Capacity,1,,,,,Jagras Hide,2,Monster Bone S,2,,,,
Bone Mail,,1,1,0,6,42,72,2,0,2,0,2,Attack Boost,1,,,,,Monster Bone S,1,Ancient Bone,1,,,,
Vespoid Mail,,1,1,0,8,44,74,-2,1,1,1,2,Windproof,1,,,,,Vespoid Shell,1,Machalite Ore,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Jagras Mail,,1,1,0,8,44,74,-2,2,-1,-1,1,Intimidator,1,,,,,Great Jagras Hide,2,Great Jagras Claw,1,Great Jagras Scale,2,Monster Bone S,3
Kulu Mail,,1,2,0,10,46,76,0,-3,0,1,0,Stamina Surge,1,,,,,Kulu-Ya-Ku Hide,2,Kulu-Ya-Ku Plume,1,Kulu-Ya-Ku Beak,1,Machalite Ore,2
Alloy Mail,,2,2,0,8,40,66,-2,1,-2,-2,1,Water Resistance,1,,,,,Machalite Ore,3,Iron Ore,6,Earth Crystal,1,,
Pukei Mail,,2,3,0,12,44,70,0,3,-3,0,1,Item Prolonger,1,,,,,Pukei-Pukei Scale,2,Pukei-Pukei Shell,1,Iron Ore,3,,
Barroth Mail,,2,3,0,14,38,72,-3,-1,3,-1,0,Stamina Thief,1,,,,,Barroth Shell,2,Barroth Ridge,1,Barroth Claw,1,Boulder Bone,1
Jyura Mail,,2,3,0,14,46,72,-1,2,-3,0,0,Muck Resistance,1,,,,,Jyuratodus Shell,2,Jyuratodus Fin,1,Jyuratodus Fang,1,Aqua Sac,1
Kadachi Mail,,2,3,0,16,48,74,0,-3,3,0,0,Jump Master,1,,,,,Tobi-Kadachi Pelt,2,Tobi-Kadachi Electrode,1,Tobi-Kadachi Membrane,2,Wingdrake Hide,2
High Metal Mail,,3,4,0,18,46,70,0,-1,-2,3,0,Earplugs,1,,,,,Dragonite Ore,2,Machalite Ore,2,Iron Ore,2,Sharp Claw,2
King Beetle Thorax,M,3,4,0,22,50,74,-1,-1,2,0,2,Quick Sheath,1,,,,,Great Hornfly,1,Earth Crystal,2,Coral Crystal,2,Poison Sac,1
Butterfly Thorax,F,3,4,0,22,50,74,-1,-1,2,0,2,Quick Sheath,1,,,,,Great Hornfly,1,Earth Crystal,2,Coral Crystal,2,Poison Sac,1
,,,,,,,,,,,,,,,,,,,,,,,,,,
Hornetaur Mail,,3,4,0,18,46,70,-1,-1,0,0,2,Effluvial Expert,1,,,,,Hornetaur Wing,2,Hornetaur Shell,2,Dragonite Ore,2,Machalite Ore,2
Anja Mail,,3,4,0,20,48,72,3,-3,-1,-1,0,Marathon Runner,1,,,Anjanath Power,1,Anjanath Pelt,3,Anjanath Fang,2,Anjanath Nosebone,1,Anjanath Plate,1
Rathian Mail,,3,4,0,22,50,74,2,0,-2,0,-3,Botanist,1,,,,,Rathian Scale,2,Rathian Shell,1,Rathian Webbing,1,Ancient Bone,2
Tzitzi Mail,,3,4,0,18,46,70,0,0,-3,-2,0,Constitution,1,,,,,Tzitzi-Ya-Ku Hide,3,Tzitzi-Ya-Ku Claw,2,Tzitzi-Ya-Ku Photophore,2,Lightcrystal,1
