#Name,Skill1,Points1,Skill2,Points2,Acquire,Material1,Points1,Materi2,Points2,Material3,Points3,Material4,Points4
Poison Charm I,Poison Resistance,1,,,4,Pukei-Pukei Sac,1,Pukei-Pukei Tail,2,Earth Crystal,4,Aquacore Ore,1
Poison Charm II,Poison Resistance,2,,,6,Pukei-Pukei Sac+,2,Pukei-Pukei Wing,2,Dragonvein Crystal,3,Spiritcore Ore,1
Poison Charm III,Poison Resistance,3,,,6,Rathalos Ruby,1,Rathalos Wing,2,Firecell Stone,1,Dreamcore Ore,1
Attack Charm I,Attack Boost,1,,,3,Sturdy Bone,4,Boulder Bone,4,Lightcrystal,1,Aquacore Ore,1
Attack Charm II,Attack Boost,2,,,6,Quality Bone,3,Dragonbone Relic,1,Novacrystal,1,Spiritcore Ore,1
Attack Charm III,Attack Boost,3,,,8,Elder Dragon Bone,2,High Commendation,1,Brutal Bone,2,Dreamcore Ore,1
Defense Charm I,Defense Boost,1,,,4,Dragonite Ore,4,Machalite Ore,4,Lightcrystal,1,Aquacore Ore,1
Defense Charm II,Defense Boost,2,,,6,Carbalite Ore,6,Dragonite Ore,8,Novacrystal,1,Spiritcore Ore,1
Defense Charm III,Defense Boost,3,,,6,Fucium Ore,6,Carbalite Ore,8,Firecell Stone,1,Dreamcore Ore,1
Paralysis Charm I,Paralysis Resistance,1,,,4,Great Girros Hood,1,Great Girros Fang,2,Warped Bone,6,Aquacore Ore,1
Paralysis Charm II,Paralysis Resistance,2,,,6,Great Girros Hood+,2,Omniplegia Sac,4,Dragonvein Crystal,3,Spiritcore Ore,1
Paralysis Charm III,Paralysis Resistance,3,,,8,Teostra Gem,1,Teostra Horn+,2,Firecell Stone,1,Dreamcore Ore,1
Sleep Charm I,Sleep Resistance,1,,,4,Radobaan Marrow,1,Radobaan Oilshell,2,Coral Crystal,3,Aquacore Ore,1
Sleep Charm II,Sleep Resistance,2,,,6,Radobaan Medulla,1,Radobaan Oilshell,3,Dragonvein Crystal,3,Spiritcore Ore,1
Sleep Charm III,Sleep Resistance,3,,,6,Uragaan Ruby,1,Uragaan Jaw,2,Firecell Stone,1,Dreamcore Ore,1
Stun Charm I,Stun Resistance,1,,,3,Tzitzi-Ya-Ku Photophore,1,Tzitzi-Ya-Ku Claw,2,Coral Crystal,4,Aquacore Ore,1
Stun Charm II,Stun Resistance,2,,,6,Tzitzi-Ya-Ku Photophore+,2,Tzitzi-Ya-Ku Claw+,2,Novacrystal,1,Spiritcore Ore,1
Stun Charm III,Stun Resistance,3,,,6,Black Spiral Horn+,3,Black Diablos Ridge+,2,Brutal Bone,2,Dreamcore Ore,1
Windproof Charm I,Windproof,1,,,3,Paolumu Webbing,3,Paolumu Shell,5,Coral Crystal,3,Aquacore Ore,1
Windproof Charm II,Windproof,2,,,6,Paolumu Wing,3,Wyvern Gem,2,Dragonvein Crystal,1,Spiritcore Ore,1
