#Name,Restriction,Rarity,Acquire,Slots,Min Def,Max Def,Aug Def,Fire,Water,Thunder,Ice,Dragon,Skill 1,Points 1,Skill 2,Points 2,Skill 3,Points 3,Material 1,Num 1,Material 2,Num 2,Material 3,Num 3,Material 4,Num 4
Leather Headgear,,1,1,0,2,38,68,2,0,0,0,0,Hunger Resistance,1,,,,,Iron Ore,2,,,,,,
Chainmail Headgear,,1,1,0,2,38,68,0,2,0,0,0,Master Gatherer,1,,,,,Iron Ore,2,,,,,,
Hunter's Headgear,,1,1,0,6,42,72,2,2,0,0,0,Scoutfly Range Up,1,,,,,Jagras Hide,2,Jagras Scale,2,,,,
Bone Helm,,1,1,0,6,42,72,2,0,2,0,2,Health Boost,1,,,,,Monster Bone S,2,Ancient Bone,2,,,,
Vespoid Helm,,1,1,0,8,44,74,-2,1,1,1,2,Quick Sheath,1,,,,,Vespoid Shell,2,Iron Ore,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Jagras Helm,,1,1,0,8,44,74,-2,2,-1,-1,1,Speed Eating,1,,,,,Great Jagras Hide,2,Great Jagras Mane,2,Great Jagras Claw,2,Ancient Bone,1
Kulu Headpiece,,1,2,0,10,46,76,0,-3,0,1,0,Fire Resistance,1,,,,,Kulu-Ya-Ku Scale,2,Kulu-Ya-Ku Hide,1,Kulu-Ya-Ku Plume,1,,
Alloy Helm,,2,2,0,8,40,66,-2,1,-2,-2,1,Windproof,1,,,,,Machalite Ore,4,Iron Ore,4,Earth Crystal,2,,
Pukei Hood,,2,3,0,12,44,70,0,3,-3,0,1,Sporepuff Expert,1,,,,,Pukei-Pukei Shell,2,Pukei-Pukei Tail,1,Pukei-Pukei Quill,2,Machalite Ore,2
Barroth Helm,,2,3,0,14,38,72,-3,-1,3,-1,0,Guard,1,,,,,Barroth Ridge,2,Barroth Tail,1,Barroth Claw,2,Kestodon Shell,2
Jyura Helm,,2,3,0,14,46,72,-1,2,-3,0,0,Aquatic Expert,1,,,,,Jyuratodus Scale,2,Jyuratodus Shell,1,Jyuratodus Fin,1,Gajau Skin,3
Kadachi Helm,,2,3,0,16,48,74,0,-3,3,0,0,Constitution,1,,,,,Tobi-Kadachi Pelt,2,Tobi-Kadachi Electrode,2,Tobi-Kadachi Claw,1,Electro Sac,1
High Metal Helm,,3,4,0,18,46,70,0,-1,-2,3,0,Ice Resistance,1,,,,,Dragonite Ore,2,Machalite Ore,1,Iron Ore,6,,
King Beetle Vertex,M,3,4,0,22,50,74,-1,-1,2,0,2,Evade Window,1,,,,,Great Hornfly,2,Dragonite Ore,2,Coral Crystal,2,Flame Sac,1
Butterfly Vertex,F,3,4,0,22,50,74,-1,-1,2,0,2,Evade Window,1,,,,,Great Hornfly,2,Dragonite Ore,2,Coral Crystal,2,Flame Sac,1
Shamos Goggles,,3,4,0,22,50,74,2,2,0,-3,0,Detector,1,,,,,Shamos Hide,2,Shamos Scale,3,Coral Bone,1,Coral Crystal,1
Hornetaur Helm,,3,4,0,18,46,70,-1,-1,0,0,2,Dungmaster,1,,,,,Hornetaur Head,1,Hornetaur Shell,1,Machalite Ore,1,Monster Fluid,1
Anja Helm,,3,4,0,20,48,72,3,-3,-1,-1,0,Fire Attack,1,,,Anjanath Power,1,Anjanath Pelt,3,Anjanath Scale,3,Anjanath Tail,1,Flame Sac,1
Rathian Helm,,3,4,0,22,50,74,2,0,-2,0,-3,Health Boost,1,,,,,Rathian Shell,2,Rathian Scale,3,Rathian Webbing,2,Flame Sac,1
Tzitzi Headgear,,3,4,0,18,46,70,0,0,-3,-2,0,Blindsider,1,,,,,Tzitzi-Ya-Ku Scale,2,Tzitzi-Ya-Ku Hide,1,Tzitzi-Ya-Ku Photophore,1,Coral Crystal,1
Lumu Hat,,3,4,0,20,48,72,-3,2,0,1,0,Stamina Surge,1,,,,,Paolumu Scale,2,Paolumu Webbing,2,Paolumu Shell,2,Lightcrystal,1
