#Name,Gender,Rarity,Acquire,Slots,Min Def,Max Def,Aug Def,Fire,Water,Thunder,Ice,Dragon,Skill 1,Points 1,Skill 2,Points 2,Skill 3,Points 3,Material 1,Num 1,Material 2,Num 2,Material 3,Num 3,Material 4,Num 4
Leather Trousers,,1,1,0,2,38,68,2,0,0,0,0,,,,,,,Iron Ore,1,,,,,,
Chainmail Trousers,,1,1,0,2,38,68,0,2,0,0,0,,,,,,,Iron Ore,1,,,,,,
Hunter's Greaves,,1,1,0,6,42,72,2,2,0,0,0,BBQ Master,1,,,,,Jagras Hide,1,Monster Bone S,1,,,,
Bone Greaves,,1,1,0,6,42,72,2,0,2,0,2,Entomologist,1,,,,,Monster Bone S,1,Ancient Bone,1,,,,
Vespoid Greaves,,1,1,0,8,44,74,-2,1,1,1,2,Honey Hunter,1,,,,,Vespoid Wing,2,Monster Fluid,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Gajau Boots,,1,1,0,12,48,78,0,5,0,0,0,Aquatic Expert,1,,,,,Gajau Skin,4,Gajau Whisker,2,,,,
Jagras Greaves,,1,1,0,8,44,74,-2,2,-1,-1,1,Speed Crawler,1,,,,,Great Jagras Scale,1,Great Jagras Hide,1,Great Jagras Mane,1,Jagras Scale,2
Kulu Greaves,,1,2,0,10,46,76,0,-3,0,1,0,Critical Eye,1,,,,,Kulu-Ya-Ku Hide,2,Kulu-Ya-Ku Scale,3,Wingdrake Hide,2,,
Alloy Greaves,,2,2,0,8,40,66,-2,1,-2,-2,1,Speed Sharpening,1,,,,,Machalite Ore,3,Iron Ore,6,Earth Crystal,1,,
Pukei Greaves,,2,3,0,12,44,70,0,3,-3,0,1,Botanist,1,,,,,Pukei-Pukei Shell,2,Pukei-Pukei Sac,1,Pukei-Pukei Scale,2,Monster Bone M,1
Barroth Greaves,,2,3,0,14,38,72,-3,-1,3,-1,0,Stun Resistance,1,,,,,Barroth Ridge,2,Barroth Scalp,1,Barroth Shell,1,Fertile Mud,2
Jyura Greaves,,2,3,0,14,46,72,-1,2,-3,0,0,Focus,1,,,,,Jyuratodus Shell,3,Jyuratodus Fang,2,Jyuratodus Fin,2,Earth Crystal,3
Kadachi Greaves,,2,3,0,16,48,74,0,-3,3,0,0,Thunder Resistance,1,,,,,Tobi-Kadachi Scale,2,Tobi-Kadachi Pelt,1,Warm Pelt,1,,
High Metal Greaves,,3,4,0,18,46,70,0,-1,-2,3,0,Heavy Artillery,1,,,,,Dragonite Ore,2,Machalite Ore,1,Iron Ore,6,,
King Beetle Crura,M,3,4,0,22,50,74,-1,-1,2,0,2,Forager's Luck,1,,,,,Great Hornfly,1,Dragonite Ore,2,Monster Fluid,3,Paralysis Sac,1
Butterfly Crura,F,3,4,0,22,50,74,-1,-1,2,0,2,Forager's Luck,1,,,,,Great Hornfly,1,Dragonite Ore,2,Monster Fluid,3,Paralysis Sac,1
,,,,,,,,,,,,,,,,,,,,,,,,,,
Hornetaur Greaves,,3,4,0,18,46,70,-1,-1,0,0,2,Handicraft,1,,,,,Hornetaur Wing,2,Hornetaur Shell,2,Dragonite Ore,3,Monster Fluid,2
Anja Greaves,,3,4,0,20,48,72,3,-3,-1,-1,0,Artillery,1,,,Anjanath Power,1,Anjanath Scale,2,Anjanath Pelt,1,Flame Sac,1,Machalite Ore,2
Rathian Greaves,,3,4,0,22,50,74,2,0,-2,0,-3,Recovery Up,1,,,,,Rathian Shell,4,Rathian Spike,1,Rath Wingtalon,2,Rathian Plate,1
Tzitzi Greaves,,3,4,0,18,46,70,0,0,-3,-2,0,Sleep Resistance,1,,,,,Tzitzi-Ya-Ku Scale,2,Tzitzi-Ya-Ku Hide,1,Tzitzi-Ya-Ku Claw,1,,
