#Name,Gender,Rarity,Acquire,Slots,Min Def,Max Def,Aug Def,Fire,Water,Thunder,Ice,Dragon,Skill 1,Points 1,Skill 2,Points 2,Skill 3,Points 3,Material 1,Num 1,Material 2,Num 2,Material 3,Num 3,Material 4,Num 4
Leather Belt,,1,1,0,2,38,68,2,0,0,0,0,,,,,,,Iron Ore,1,,,,,,
Chainmail Belt,,1,1,0,2,38,68,0,2,0,0,0,,,,,,,Iron Ore,1,,,,,,
Hunter's Coil,,1,1,0,6,42,72,2,2,0,0,0,Scenthound,1,,,,,Jagras Hide,1,Monster Bone S,1,,,,
Bone Coil,,1,1,0,6,42,72,2,0,2,0,2,Horn Maestro,1,,,,,Monster Bone S,1,Kestodon Shell,1,,,,
Vespoid Coil,,1,1,0,8,44,74,-2,1,1,1,2,Paralysis Resistance,1,,,,,Vespoid Shell,1,Iron Ore,4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Jagras Coil,,1,1,0,8,44,74,-2,2,-1,-1,1,Fortify,1,,,,,Great Jagras Hide,1,Great Jagras Mane,1,Great Jagras Scale,2,Sharp Claw,2
Kulu Coil,,1,2,0,10,46,76,0,-3,0,1,0,Item Prolonger,1,,,,,Kulu-Ya-Ku Hide,2,Kulu-Ya-Ku Beak,1,Wingdrake Hide,2,,
Alloy Coil,,2,2,0,8,40,66,-2,1,-2,-2,1,Poison Resistance,1,,,,,Machalite Ore,4,Iron Ore,4,Earth Crystal,2,,
Pukei Coil,,2,3,0,12,44,70,0,3,-3,0,1,Poison Attack,1,,,,,Pukei-Pukei Shell,3,Pukei-Pukei Tail,1,Pukei-Pukei Sac,1,Poison Sac,1
Barroth Coil,,2,3,0,14,38,72,-3,-1,3,-1,0,Muck Resistance,1,,,,,Barroth Shell,2,Barroth Ridge,1,Fertile Mud,2,,
Jyura Coil,,2,3,0,14,46,72,-1,2,-3,0,0,Ice Resistance,1,,,,,Jyuratodus Scale,2,Jyuratodus Shell,1,Aqua Sac,1,,
Kadachi Coil,,2,3,0,16,48,74,0,-3,3,0,0,Thunder Attack,1,,,,,Tobi-Kadachi Scale,2,Tobi-Kadachi Pelt,1,Electro Sac,1,,
High Metal Coil,,3,4,0,18,46,70,0,-1,-2,3,0,Capacity Boost,1,,,,,Dragonite Ore,2,Machalite Ore,1,Iron Ore,6,,
King Beetle Elytra,M,3,4,0,22,50,74,-1,-1,2,0,2,Honey Hunter,1,,,,,Great Hornfly,1,Earth Crystal,2,Monster Fluid,1,Electro Sac,1
Butterfly Elytra,F,3,4,0,22,50,74,-1,-1,2,0,2,Honey Hunter,1,,,,,Great Hornfly,1,Earth Crystal,2,Monster Fluid,1,Electro Sac,1
,,,,,,,,,,,,,,,,,,,,,,,,,,
Hornetaur Coil,,3,4,0,18,46,70,-1,-1,0,0,2,Carving Pro,1,,,,,Hornetaur Wing,1,Hornetaur Shell,1,Iron Ore,3,Machalite Ore,1
Anja Coil,,3,4,0,20,48,72,3,-3,-1,-1,0,Fire Resistance,1,,,Anjanath Power,1,Anjanath Scale,2,Anjanath Pelt,1,Anjanath Fang,2,Machalite Ore,2
Rathian Coil,,3,4,0,22,50,74,2,0,-2,0,-3,Poison Resistance,1,,,,,Rathian Scale,2,Rathian Shell,1,Rath Wingtalon,2,Boulder Bone,2
Tzitzi Coil,,3,4,0,18,46,70,0,0,-3,-2,0,Wide-Range,1,,,,,Tzitzi-Ya-Ku Hide,2,Tzitzi-Ya-Ku Claw,2,Coral Crystal,2,,
Lumu Coil,,3,4,0,20,48,72,-3,2,0,1,0,Divine Blessing,1,,,,,Paolumu Pelt,2,Paolumu Scale,1,Paolumu Shell,1,,
Girros Coil,,3,4,0,20,48,72,0,-3,2,0,1,Effluvial Expert,1,,,,,Great Girros Hide,2,Great Girros Tail,1,Great Girros Hood,1,Girros Hide,3
Baan Coil,,3,4,0,24,52,76,0,2,0,-1,-2,Guard,1,,,,,Radobaan Scale,2,Radobaan Oilshell,1,Sleep Sac,1,Monster Bone L,3
Ingot Coil,,4,5,0,28,52,72,-2,0,3,-1,0,Windproof,1,,,,,Dragonite Ore,3,Monster Bone+,1,Coral Crystal,3,Lightcrystal,1
